"","logFC","logCPM","F","PValue","FDR"
"PACS1",-0.0310445121846771,4.64261182737436,0.0311732649635065,0.861509036719112,0.970806410702016
"LINC00963",-0.0223620726768176,3.50985259817808,0.0311718925712084,0.861512052281997,0.970806410702016
"RAB12",0.0846284577178644,0.267541498804849,0.0311578192400664,0.861542979623027,0.970806410702016
"ZDHHC13",0.0274270046471344,5.16731329965642,0.031151378246578,0.861557136659231,0.970806410702016
"SH3GL1",-0.0470925800680082,5.29708580241339,0.0310244681654564,0.861836388594437,0.970806410702016
"WDR88",0.094027267742106,-0.568562375188595,0.0309917618245856,0.861908450890565,0.970806410702016
"CD276",-0.0249883741383341,7.80297129970138,0.0309612313283673,0.861975754554548,0.970806410702016
"YIPF3",0.0176596980067045,8.55237840920192,0.0308824112062862,0.862149669957844,0.970806410702016
"BBS4",-0.0258628205716648,5.24655831480553,0.0308378759147827,0.86224803770871,0.970806410702016
"LINC01547",0.0543894897240327,2.78770666378097,0.0308248543003456,0.862276813175177,0.970806410702016
"PRICKLE4",-0.0330567912299149,0.914877414224812,0.0307970313553322,0.862338317996958,0.970806410702016
"PLAC9",-0.0752249644485885,4.10430582396341,0.0307957979969966,0.862341045096815,0.970806410702016
"PTPRG-AS1",-0.0702024572639364,-0.388225881332614,0.0307517968731366,0.862438373641917,0.970806410702016
"GABRG3",0.101479007256412,-0.110390333078278,0.0307337641031138,0.862478282095064,0.970806410702016
"PCF11",0.0250369616063453,3.83404453977746,0.030732034946169,0.862482109539597,0.970806410702016
"ERCC3",-0.0154600809237344,6.01477007446436,0.0307288819962223,0.862489088799494,0.970806410702016
"MFSD9",0.0250787020241129,3.34833269366452,0.0307033405489945,0.862545640082882,0.970806410702016
"MON2",0.0246848637506503,5.15764634989485,0.0306622929418654,0.862636574415265,0.970806410702016
"HIKESHIP2",0.0385281040985583,-0.729026538675924,0.0306158720782079,0.862739488050897,0.970806410702016
"NFIC",-0.0322257159514558,6.10525829840635,0.0306067701724639,0.862759676137042,0.970806410702016
"MMD",-0.052542185008745,1.5875381506614,0.0305555196993991,0.862873407893366,0.970806410702016
"BANP",0.0818195262323283,3.26701666493298,0.0305302358458419,0.862929552453262,0.970806410702016
"RNF114",0.0113963791993354,6.35680442727639,0.0305213238828769,0.862949347806394,0.970806410702016
"ADAM20",0.0816832149786868,-0.436703896220413,0.0304769694189433,0.863047912829349,0.970806410702016
"LINC01465",0.0844273208521004,-0.0196423039099258,0.0304379752969267,0.863134627185643,0.970806410702016
"LARP6",-0.0639522995651232,5.9932222221906,0.0304354073017756,0.86314033985332,0.970806410702016
"NAB2",-0.0392513184982942,4.13571138547926,0.0304148617700008,0.863186053644775,0.970806410702016
"CTU1",0.100065055038905,-0.128535782018891,0.0304135985022886,0.86318886493421,0.970806410702016
"CYTIP",0.0886935370820161,1.14892905429472,0.0303906719876953,0.863239896315485,0.970806410702016
"KCNJ14",0.080621812876142,-0.461171541304603,0.030387725751447,0.86324645568658,0.970806410702016
"USP1",-0.0336351431895635,3.34827569537986,0.0303279728278396,0.863379557841277,0.970808263692267
"THOC2",-0.0194873118349673,5.88147271367957,0.03032488292007,0.863386444418018,0.970808263692267
"OSBP",0.0260880142311735,5.05029068593094,0.0301627026642369,0.863748410194163,0.971044947679801
"SPESP1",-0.360427571008538,1.17392493108323,0.0301587706419411,0.863757198417913,0.971044947679801
"RAB11B-AS1",0.036196369865548,1.7519742996625,0.0301100324314197,0.8638661793236,0.971044947679801
"SLC45A1",0.045817798772827,1.42576857638729,0.0300856310938767,0.86392077602672,0.971044947679801
"NPTN-IT1",-0.054876329415483,1.57232404459635,0.0300591956861587,0.863979949632279,0.971044947679801
"SIRPB1",-0.0836883700069965,0.520666319621295,0.0299954033895906,0.864122854344639,0.971044947679801
"GRK4",-0.0449028725131351,1.24429153688402,0.0299939295347058,0.864126157861296,0.971044947679801
"COA6",-0.0197821222630508,3.60838510910716,0.0299830981891448,0.864150437942338,0.971044947679801
"ACVRL1",-0.150296287272468,-0.631733619132512,0.0299121163441061,0.864309666430309,0.971146118673396
"CYB561D2",-0.0168597487798326,6.31808751451061,0.0298503615932956,0.864448354999688,0.971147187093056
"LOC112267879",-0.10071698620482,-0.43155858990793,0.0298440652274242,0.864462503659974,0.971147187093056
"STRN4",-0.0383892812492991,4.31129847157823,0.0297948120782198,0.864573234315558,0.971147187093056
"LOC100130691",0.0536035968673881,0.479611356461405,0.0297885159706446,0.864587395990576,0.971147187093056
"BTN2A2",0.0246151388354203,3.98733356936577,0.0297023039012905,0.864781466063151,0.971281988518711
"CBFA2T2",-0.0307745387699691,3.52610070847903,0.0296697138032361,0.864854904533076,0.971281988518711
"SUCLG2-DT",0.0627544022830963,0.790913456385213,0.0296298818180785,0.864944718353134,0.971281988518711
"PCYT1A",-0.015669806333157,6.514826803625,0.0295957219182805,0.865021792249105,0.971281988518711
"SAV1",0.0342478989353747,2.47188049321256,0.0295463566610469,0.865133254570343,0.971281988518711
"CAB39L",-0.024954006173777,4.56792004872731,0.0294703419641794,0.865305076805225,0.971281988518711
"PCMTD1",0.0240824418800971,4.39047456588994,0.0294337498199511,0.865387870466023,0.971281988518711
"SPA17",0.0268349899297009,2.26396738620622,0.0294028580859824,0.865457807640635,0.971281988518711
"SERINC2",0.035499109116821,7.18067642714395,0.0293386526591748,0.865603286415104,0.971281988518711
"NINJ2-AS1",0.0574634696047976,-0.329999227862017,0.029328995259396,0.865625182659946,0.971281988518711
"PTOV1",0.0364431694904781,4.12331282147871,0.0292938667588974,0.865704860944067,0.971281988518711
"FSTL3",0.0496552745825532,5.84060259498992,0.0292849903971245,0.86572500205362,0.971281988518711
"ORAI3",0.0570714406497374,5.36263196980859,0.0292438360847109,0.865818425307576,0.971281988518711
"GBE1",-0.023043055853824,7.21178970346241,0.0291984907344906,0.865921440998735,0.971281988518711
"JAK1",0.0335330963805496,6.26530789506704,0.0291664012174741,0.865994391869045,0.971281988518711
"ZNF165",-0.0410975838376001,0.763221287616161,0.0291512386327206,0.866028876196507,0.971281988518711
"SLC39A11",0.0182995044919406,4.96638531131968,0.029136529114206,0.866062338946127,0.971281988518711
"ZC3H13",-0.0192844769471925,6.37441304236491,0.0291139709140424,0.866113673610764,0.971281988518711
"MEN1",-0.0808014418862903,4.23745120567524,0.0290912487739755,0.86616540206689,0.971281988518711
